name,email,phone,age,zipcode,income,label
Jordan Kim,jordan.kim@demo.org,775-524-1929,61,71954,68975,1
Riley Kim,riley.kim@example.com,887-827-2054,39,71869,34126,1
Taylor Kim,taylor.kim@mail.test,587-824-2900,61,31059,49696,1
Riley Smith,riley.smith@demo.org,633-575-4415,27,54722,80890,1
Riley Smith,riley.smith@mail.test,642-778-7218,23,27548,54224,1
Sam Patel,sam.patel@mail.test,756-971-8833,34,25078,31980,1
Taylor Lee,taylor.lee@example.com,354-629-5458,68,15419,90205,1
Taylor Kim,taylor.kim@demo.org,647-433-3309,67,45490,68434,1
Taylor Patel,taylor.patel@example.com,324-444-5009,55,86086,71467,1
Riley Lee,riley.lee@example.com,684-321-3172,41,68760,45293,1
Jordan Nguyen,jordan.nguyen@demo.org,748-369-9315,68,40337,64261,1
Taylor Garcia,taylor.garcia@demo.org,234-286-7789,27,11468,63864,1
Casey Smith,casey.smith@mail.test,907-985-7139,25,34309,47678,1
Riley Nguyen,riley.nguyen@demo.org,400-568-9988,38,76344,57453,1
Sam Lee,sam.lee@mail.test,276-258-6619,23,82255,37493,1
Jordan Nguyen,jordan.nguyen@mail.test,308-935-8151,38,91899,54799,1
Casey Garcia,casey.garcia@mail.test,477-267-4236,56,38718,74608,1
Casey Lee,casey.lee@demo.org,688-504-2932,41,47841,48797,1
Sam Nguyen,sam.nguyen@example.com,873-564-5916,50,83548,88609,1
Jordan Smith,jordan.smith@mail.test,578-542-1946,35,93565,38459,1
Riley Smith,riley.smith@example.com,753-553-2439,45,56660,56097,1
Alex Patel,alex.patel@example.com,308-762-5857,69,60281,50154,1
Jordan Nguyen,jordan.nguyen@demo.org,696-540-1382,49,10767,57297,1
Sam Kim,sam.kim@example.com,732-499-1138,29,13895,80572,1
Casey Nguyen,casey.nguyen@example.com,558-698-4456,65,68026,45233,1
Riley Lee,riley.lee@demo.org,803-479-7626,59,52968,53231,1
Jordan Lee,jordan.lee@mail.test,310-338-7652,44,50097,69818,1
Alex Nguyen,alex.nguyen@example.com,472-298-4835,27,25332,61397,1
Alex Garcia,alex.garcia@demo.org,303-413-7905,63,24621,62628,1
Taylor Smith,taylor.smith@example.com,986-364-3567,69,86870,45521,1
Taylor Lee,taylor.lee@example.com,483-716-9848,59,28174,58926,1
Sam Smith,sam.smith@mail.test,812-363-4730,49,50502,76974,1
Jordan Lee,jordan.lee@example.com,263-290-2140,59,46674,35857,1
Jordan Patel,jordan.patel@demo.org,466-884-4630,43,47260,49540,1
Casey Kim,casey.kim@example.com,339-445-7538,42,52498,32767,1
Casey Lee,casey.lee@mail.test,686-675-8684,28,77609,68055,1
Casey Smith,casey.smith@mail.test,383-219-2960,40,59464,78382,1
Taylor Patel,taylor.patel@demo.org,757-723-1882,51,81805,57249,1
Jordan Lee,jordan.lee@mail.test,346-865-6867,69,74919,44917,1
Jordan Garcia,jordan.garcia@example.com,781-894-8929,57,64469,45356,1
Alex Kim,alex.kim@mail.test,427-301-9125,40,27194,55544,1
Taylor Lee,taylor.lee@demo.org,415-606-5494,46,36811,55487,1
Riley Patel,riley.patel@mail.test,914-903-3808,48,82377,73677,1
Taylor Garcia,taylor.garcia@mail.test,698-953-4536,24,53723,49967,1
Riley Nguyen,riley.nguyen@mail.test,890-930-5699,57,85235,66526,1
Alex Patel,alex.patel@demo.org,886-950-3819,50,86298,55418,1
Sam Patel,sam.patel@mail.test,564-362-4119,38,69238,48829,1
Jordan Garcia,jordan.garcia@mail.test,710-528-2863,19,12147,55044,1
Alex Patel,alex.patel@example.com,315-536-4935,35,48445,65048,1
Jordan Garcia,jordan.garcia@demo.org,346-774-6442,64,63803,73724,1
Casey Lee,casey.lee@mail.test,642-212-8661,50,71108,56220,1
Sam Garcia,sam.garcia@demo.org,900-486-9182,54,12013,41941,1
Sam Garcia,sam.garcia@mail.test,919-313-5117,51,95617,74996,1
Alex Kim,alex.kim@mail.test,548-925-5778,37,92410,46527,1
Sam Garcia,sam.garcia@mail.test,765-519-1276,52,63502,63912,1
Riley Garcia,riley.garcia@example.com,403-393-4735,68,47755,59628,1
Sam Nguyen,sam.nguyen@example.com,746-895-5152,67,18733,57621,1
Jordan Lee,jordan.lee@example.com,933-502-8537,35,19479,52695,1
Jordan Kim,jordan.kim@demo.org,463-993-5208,63,85361,69302,1
Jordan Nguyen,jordan.nguyen@demo.org,687-526-9733,41,31304,6269,1
Jordan Smith,jordan.smith@example.com,846-778-2088,25,45694,77047,1
Riley Lee,riley.lee@demo.org,491-224-7144,47,91171,46312,1
Taylor Lee,taylor.lee@mail.test,748-340-9068,61,96296,66119,1
Casey Smith,casey.smith@mail.test,387-327-9392,27,19490,65325,1
Alex Garcia,alex.garcia@mail.test,326-456-4747,40,31252,79125,1
Jordan Nguyen,jordan.nguyen@example.com,746-393-4175,69,16862,62966,1
Sam Patel,sam.patel@demo.org,734-464-5897,66,79959,47563,1
Jordan Kim,jordan.kim@example.com,583-459-9605,28,20450,35929,1
Sam Patel,sam.patel@demo.org,557-274-4426,19,66022,54768,1
Casey Smith,casey.smith@mail.test,783-970-1187,43,71991,30627,1
Casey Lee,casey.lee@example.com,884-489-3092,53,50927,50573,1
Casey Lee,casey.lee@demo.org,772-282-6242,50,98090,55611,1
Sam Kim,sam.kim@demo.org,557-727-6185,64,59853,49651,1
Jordan Lee,jordan.lee@mail.test,856-574-8913,30,41826,60627,1
Casey Lee,casey.lee@example.com,579-855-8355,57,52879,56458,1
Riley Kim,riley.kim@example.com,521-649-2497,42,67265,55085,1
